2019-10-01 09:39:03,593 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:39:13,612 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:39:23,625 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:39:33,638 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:39:43,654 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:39:53,662 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:40:03,676 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:40:13,691 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:40:23,704 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:40:33,717 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:40:43,734 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:40:53,747 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:41:03,764 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:41:13,778 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:41:23,793 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:41:33,803 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:41:43,816 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:41:53,831 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:42:03,847 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:42:13,862 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:42:23,876 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:42:33,891 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:42:43,904 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:42:53,918 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:43:03,938 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:43:13,956 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:43:23,976 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:43:33,996 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:43:44,012 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:43:54,030 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:44:04,049 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:44:14,064 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:44:24,078 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:44:34,093 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:44:44,110 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:44:54,118 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:45:04,133 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:45:14,144 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
2019-10-01 09:45:24,153 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'as_path': [], 'nexthop': None, 'origin': 2}}
2019-10-01 09:45:34,168 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'as_path': [5], 'nexthop': '10.0.20.1', 'origin': 2}}
