2019-09-24 17:51:20,404 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:51:25,413 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:51:30,422 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:51:35,431 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:51:40,440 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:51:45,450 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:51:50,459 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:51:55,467 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:52:00,481 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:52:05,489 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:52:10,497 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:52:15,509 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:52:20,518 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:52:25,526 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:52:30,541 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:52:35,550 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:52:40,560 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:52:45,574 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
2019-09-24 17:52:50,585 bgpreplay INFO {'attr': {'local_pref': 250, 'as_path': [1], 'nexthop': '10.0.30.1'}, 'withdraw': [], 'nlri': ['1.0.0.0/24']}
2019-09-24 17:52:55,596 bgpreplay INFO {'attr': {'local_pref': None, 'as_path': [], 'nexthop': None}, 'withdraw': ['1.0.0.0/24'], 'nlri': []}
