2019-10-01 07:47:17,715 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:47:22,723 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:47:27,731 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:47:32,740 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:47:37,749 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:47:42,756 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:47:47,764 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:47:52,772 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:47:57,780 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:48:02,790 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:48:07,803 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:48:12,812 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:48:17,820 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:48:22,833 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:48:27,844 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:48:32,862 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:48:37,872 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:48:42,881 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:48:47,891 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:48:52,902 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:48:57,912 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:49:02,920 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:49:07,930 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:49:12,936 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:49:17,944 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:49:22,954 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:49:27,961 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:49:32,971 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:49:37,981 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:49:42,992 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:49:48,002 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:49:53,012 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:49:58,021 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:50:03,029 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:50:08,039 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:50:13,048 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:50:18,056 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:50:23,066 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:50:28,075 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:50:33,087 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:50:38,097 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:50:43,107 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:50:48,116 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:50:53,126 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:50:58,142 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:51:03,158 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:51:08,167 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:51:13,177 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:51:18,186 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:51:23,200 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:51:28,209 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:51:33,223 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:51:38,235 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:51:43,246 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:51:48,258 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:51:53,268 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:51:58,280 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:52:03,288 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:52:08,301 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:52:13,313 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:52:18,327 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:52:23,341 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:52:28,352 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:52:33,363 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:52:38,379 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:52:43,389 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:52:48,402 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:52:53,414 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:52:58,422 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:53:03,431 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:53:08,443 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:53:13,452 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:53:18,466 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:53:23,474 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:53:28,489 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:53:33,504 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:53:38,513 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:53:43,524 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:53:48,535 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:53:53,543 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
2019-10-01 07:53:58,556 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'local_pref': 150, 'nexthop': '10.0.20.1', 'as_path': [5], 'origin': 2}}
2019-10-01 07:54:03,569 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'local_pref': None, 'nexthop': None, 'as_path': [], 'origin': 2}}
