2019-10-01 17:17:07,457 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:17:27,480 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:17:47,505 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:18:07,530 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:18:27,553 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:18:47,577 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:19:07,605 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:19:27,634 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:19:47,662 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:20:07,691 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:20:27,716 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:20:47,742 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:21:07,769 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:21:27,794 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:21:47,821 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
2019-10-01 17:22:07,846 bgpreplay INFO {'withdraw': ['1.2.2.0/24'], 'nlri': [], 'attr': {'nexthop': None, 'as_path': [], 'local_pref': None, 'origin': 2}}
2019-10-01 17:22:27,871 bgpreplay INFO {'withdraw': [], 'nlri': ['1.2.2.0/24'], 'attr': {'nexthop': '10.0.20.1', 'as_path': [5], 'local_pref': 150, 'origin': 2}}
